Metric,Run 1,Run 2,Run 3,Run 4,Run 5,Average,Std. Deviation
MSE,0.3116,0.3035,0.2982,0.3064,0.3148,0.3069,0.0059
RMSE,0.5582,0.5509,0.546,0.5535,0.5611,0.554,0.0053
MAE,0.4275,0.4311,0.4161,0.4426,0.4536,0.4342,0.0129
MAPE (%),15.91,15.26,14.51,15.32,15.46,15.29,0.45
