Metric,Run 1,Run 2,Run 3,Run 4,Run 5,Average,Std. Deviation
MSE,0.3134,0.3259,0.3232,0.3179,0.3143,0.319,0.0049
RMSE,0.5598,0.5709,0.5685,0.5639,0.5607,0.5647,0.0043
MAE,0.4508,0.4625,0.4645,0.4465,0.4423,0.4533,0.0088
MAPE (%),16.27,15.77,16.27,16.98,16.66,16.39,0.41
