Metric,Run 1,Run 2,Run 3,Run 4,Run 5,Average,Std. Deviation
MSE,0.3139,0.3184,0.318,0.3127,0.3137,0.3153,0.0024
RMSE,0.5603,0.5643,0.5639,0.5592,0.5601,0.5615,0.0021
MAE,0.4373,0.4408,0.4507,0.4412,0.4412,0.4423,0.0045
MAPE (%),15.68,16.48,16.13,15.92,16.28,16.1,0.28
