Metric,Run 1,Run 2,Run 3,Run 4,Run 5,Average,Std. Deviation
MSE,0.3513,0.3275,0.321,0.312,0.328,0.328,0.013
RMSE,0.5927,0.5723,0.5665,0.5586,0.5727,0.5726,0.0113
MAE,0.468,0.4527,0.4464,0.4369,0.4498,0.4508,0.0101
MAPE (%),17.05,15.94,15.69,15.95,15.67,16.06,0.51
