Metric,Run 1,Run 2,Run 3,Run 4,Run 5,Average,Std. Deviation
MSE,0.299,0.3059,0.315,0.3058,0.3029,0.3057,0.0053
RMSE,0.5468,0.5531,0.5613,0.553,0.5504,0.5529,0.0048
MAE,0.4307,0.4458,0.4523,0.4308,0.4324,0.4384,0.009
MAPE (%),15.43,15.37,15.22,15.5,15.59,15.42,0.12
