Metric,Run 1,Run 2,Run 3,Run 4,Run 5,Average,Std. Deviation
MSE,0.2922,0.3032,0.2906,0.2978,0.2945,0.2957,0.0045
RMSE,0.5406,0.5507,0.5391,0.5457,0.5427,0.5438,0.0041
MAE,0.415,0.4481,0.4311,0.4367,0.4255,0.4313,0.011
MAPE (%),15.28,15.25,14.91,14.81,15.05,15.06,0.18
