Metric,Run 1,Run 2,Run 3,Run 4,Run 5,Average,Std. Deviation
MSE,0.273,0.2663,0.2619,0.2636,0.2631,0.2656,0.004
RMSE,0.5225,0.5161,0.5117,0.5134,0.5129,0.5153,0.0038
MAE,0.3987,0.3912,0.3846,0.387,0.3901,0.3903,0.0048
MAPE (%),13.92,13.77,13.83,13.79,14.07,13.88,0.11
