Metric,Run 1,Run 2,Run 3,Run 4,Run 5,Average,Std. Deviation
MSE,0.2641,0.2588,0.28,0.2659,0.2623,0.2662,0.0072
RMSE,0.5139,0.5088,0.5291,0.5156,0.5122,0.5159,0.007
MAE,0.3899,0.3882,0.4028,0.388,0.3818,0.3901,0.0069
MAPE (%),13.95,13.74,14.29,13.97,13.51,13.89,0.26
