Metric,Run 1,Run 2,Run 3,Run 4,Run 5,Average,Std. Deviation
MSE,0.2954,0.3003,0.2958,0.2929,0.2903,0.2949,0.0034
RMSE,0.5435,0.548,0.5439,0.5412,0.5388,0.5431,0.0031
MAE,0.4322,0.425,0.424,0.4234,0.4247,0.4258,0.0032
MAPE (%),15.03,15.72,15.44,15.16,14.64,15.2,0.37
